search_term,month,search_index
camping training,2021-05,58
camping training,2021-06,71
camping training,2021-07,66
camping training,2021-08,61
camping training,2021-09,49
camping training,2021-10,43
camping training,2021-11,47
camping training,2021-12,38
camping training,2022-01,48
camping training,2022-02,51
camping training,2022-03,60
camping training,2022-04,61
camping training,2022-05,71
camping training,2022-06,77
camping training,2022-07,87
camping training,2022-08,82
camping training,2022-09,51
camping training,2022-10,46
camping training,2022-11,35
camping training,2022-12,36
camping training,2023-01,56
camping training,2023-02,52
camping training,2023-03,58
camping training,2023-04,56
camping training,2023-05,52
camping training,2023-06,68
camping training,2023-07,67
camping training,2023-08,63
camping training,2023-09,54
camping training,2023-10,38
camping training,2023-11,39
camping training,2023-12,39
camping training,2024-01,47
camping training,2024-02,59
camping training,2024-03,53
camping training,2024-04,55
camping training,2024-05,64
camping training,2024-06,65
camping training,2024-07,66
camping training,2024-08,67
camping training,2024-09,49
camping training,2024-10,49
camping training,2024-11,52
camping training,2024-12,44
climbing lessons,2015-01,65
climbing lessons,2015-02,67
climbing lessons,2015-03,63
climbing lessons,2015-04,53
climbing lessons,2015-05,56
climbing lessons,2015-06,59
climbing lessons,2015-07,68
climbing lessons,2015-08,73
climbing lessons,2015-09,62
climbing lessons,2015-10,49
climbing lessons,2015-11,52
climbing lessons,2015-12,58
climbing lessons,2016-01,64
climbing lessons,2016-02,59
climbing lessons,2016-03,67
climbing lessons,2016-04,53
climbing lessons,2016-05,54
climbing lessons,2016-06,70
climbing lessons,2016-07,58
climbing lessons,2016-08,67
climbing lessons,2016-09,51
climbing lessons,2016-10,37
climbing lessons,2016-11,49
climbing lessons,2016-12,63
climbing lessons,2017-01,60
climbing lessons,2017-02,53
climbing lessons,2017-03,57
climbing lessons,2017-04,61
climbing lessons,2017-05,56
climbing lessons,2017-06,60
climbing lessons,2017-07,63
climbing lessons,2017-08,64
climbing lessons,2017-09,69
climbing lessons,2017-10,55
climbing lessons,2017-11,54
climbing lessons,2017-12,57
climbing lessons,2018-01,69
climbing lessons,2018-02,60
climbing lessons,2018-03,49
climbing lessons,2018-04,49
climbing lessons,2018-05,46
climbing lessons,2018-06,49
climbing lessons,2018-07,58
climbing lessons,2018-08,62
climbing lessons,2018-09,64
climbing lessons,2018-10,58
climbing lessons,2018-11,54
climbing lessons,2018-12,50
climbing lessons,2019-01,61
climbing lessons,2019-02,48
climbing lessons,2019-03,59
climbing lessons,2019-04,57
climbing lessons,2019-05,50
climbing lessons,2019-06,50
climbing lessons,2019-07,58
climbing lessons,2019-08,64
climbing lessons,2019-09,58
climbing lessons,2019-10,43
climbing lessons,2019-11,48
climbing lessons,2019-12,52
climbing lessons,2020-01,55
climbing lessons,2020-02,40
climbing lessons,2020-03,23
climbing lessons,2020-04,18
