channel_name,sport,year,quarter,total_views_in_quarter,subscribers_end_quarter,videos_uploaded_in_quarter,avg_views_per_video
Skills With Phil,mountain biking,2022,Q4,1463022,573000,11,133002.0
Skills With Phil,mountain biking,2023,Q1,75305,573000,2,37652.5
Skills With Phil,mountain biking,2023,Q2,1354113,573000,14,96722.36
Skills With Phil,mountain biking,2023,Q3,1825448,573000,13,140419.08
Skills With Phil,mountain biking,2023,Q4,392988,573000,5,78597.6
Skills With Phil,mountain biking,2024,Q1,489862,573000,3,163287.33
Skills With Phil,mountain biking,2024,Q2,628721,573000,12,52393.42
Skills With Phil,mountain biking,2024,Q3,3374582,573000,71,47529.32
Skills With Phil,mountain biking,2024,Q4,805016,573000,25,32200.64
Slingshot Sports,wingfoiling,2015,Q1,45514,17000,1,45514.0
Slingshot Sports,wingfoiling,2015,Q2,108648,17000,16,6790.5
Slingshot Sports,wingfoiling,2015,Q3,123966,17000,31,3998.9
Slingshot Sports,wingfoiling,2015,Q4,118293,17000,15,7886.2
Slingshot Sports,wingfoiling,2016,Q1,318380,17000,21,15160.95
Slingshot Sports,wingfoiling,2016,Q2,46367,17000,7,6623.86
Slingshot Sports,wingfoiling,2016,Q3,289009,17000,40,7225.23
Slingshot Sports,wingfoiling,2016,Q4,466677,17000,28,16667.04
Slingshot Sports,wingfoiling,2017,Q1,166910,17000,7,23844.29
Slingshot Sports,wingfoiling,2017,Q2,66684,17000,15,4445.6
Slingshot Sports,wingfoiling,2017,Q3,262848,17000,23,11428.17
Slingshot Sports,wingfoiling,2017,Q4,125018,17000,12,10418.17
Slingshot Sports,wingfoiling,2018,Q1,165184,17000,21,7865.9
Slingshot Sports,wingfoiling,2018,Q2,86585,17000,7,12369.29
Slingshot Sports,wingfoiling,2018,Q3,217232,17000,30,7241.07
Slingshot Sports,wingfoiling,2018,Q4,28382,17000,3,9460.67
Slingshot Sports,wingfoiling,2019,Q1,74175,17000,9,8241.67
Slingshot Sports,wingfoiling,2019,Q2,157836,17000,13,12141.23
Slingshot Sports,wingfoiling,2019,Q3,542786,17000,69,7866.46
Slingshot Sports,wingfoiling,2019,Q4,62876,17000,12,5239.67
Slingshot Sports,wingfoiling,2020,Q1,65968,17000,4,16492.0
Slingshot Sports,wingfoiling,2020,Q2,99461,17000,18,5525.61
Slingshot Sports,wingfoiling,2020,Q3,323191,17000,16,20199.44
Slingshot Sports,wingfoiling,2020,Q4,112088,17000,25,4483.52
Slingshot Sports,wingfoiling,2021,Q1,86200,17000,14,6157.14
Slingshot Sports,wingfoiling,2021,Q2,123150,17000,16,7696.88
Slingshot Sports,wingfoiling,2021,Q3,68447,17000,13,5265.15
Slingshot Sports,wingfoiling,2021,Q4,202127,17000,56,3609.41
Slingshot Sports,wingfoiling,2022,Q1,70504,17000,9,7833.78
Slingshot Sports,wingfoiling,2022,Q2,86735,17000,15,5782.33
Slingshot Sports,wingfoiling,2022,Q3,199791,17000,48,4162.31
Slingshot Sports,wingfoiling,2022,Q4,35045,17000,13,2695.77
Slingshot Sports,wingfoiling,2023,Q1,27733,17000,10,2773.3
Slingshot Sports,wingfoiling,2023,Q2,18432,17000,9,2048.0
Slingshot Sports,wingfoiling,2023,Q3,47713,17000,16,2982.06
Slingshot Sports,wingfoiling,2023,Q4,116517,17000,23,5065.96
Slingshot Sports,wingfoiling,2024,Q1,45432,17000,18,2524.0
Slingshot Sports,wingfoiling,2024,Q2,65164,17000,26,2506.31
Slingshot Sports,wingfoiling,2024,Q3,81131,17000,23,3527.43
Slingshot Sports,wingfoiling,2024,Q4,36920,17000,16,2307.5
Snowboarder Magazine,snowboarding,2015,Q1,3566031,184000,117,30478.9
Snowboarder Magazine,snowboarding,2015,Q2,559618,184000,35,15989.09
Snowboarder Magazine,snowboarding,2015,Q3,406769,184000,43,9459.74
Snowboarder Magazine,snowboarding,2015,Q4,3518046,184000,118,29813.95
Snowboarder Magazine,snowboarding,2016,Q1,1745129,184000,70,24930.41
Snowboarder Magazine,snowboarding,2016,Q2,642799,184000,58,11082.74
Snowboarder Magazine,snowboarding,2016,Q3,3658779,184000,57,64189.11
Snowboarder Magazine,snowboarding,2016,Q4,4773841,184000,157,30406.63
Snowboarder Magazine,snowboarding,2017,Q1,2555562,184000,90,28395.13
Snowboarder Magazine,snowboarding,2017,Q2,825609,184000,48,17200.19
Snowboarder Magazine,snowboarding,2017,Q3,2363041,184000,79,29911.91
Snowboarder Magazine,snowboarding,2017,Q4,2373416,184000,100,23734.16
Snowboarder Magazine,snowboarding,2018,Q1,1485842,184000,49,30323.31
Snowboarder Magazine,snowboarding,2018,Q2,281924,184000,31,9094.32
Snowboarder Magazine,snowboarding,2018,Q3,2389583,184000,48,49782.98
Snowboarder Magazine,snowboarding,2018,Q4,1392146,184000,130,10708.82
Snowboarder Magazine,snowboarding,2019,Q1,1966089,184000,54,36409.06
Snowboarder Magazine,snowboarding,2019,Q2,145119,184000,17,8536.41
Snowboarder Magazine,snowboarding,2019,Q3,77507,184000,14,5536.21
Snowboarder Magazine,snowboarding,2019,Q4,720346,184000,75,9604.61
Snowboarder Magazine,snowboarding,2020,Q1,796814,184000,47,16953.49
Snowboarder Magazine,snowboarding,2020,Q2,117595,184000,9,13066.11
Snowboarder Magazine,snowboarding,2020,Q3,71786,184000,5,14357.2
Snowboarder Magazine,snowboarding,2020,Q4,230713,184000,43,5365.42
Snowboarder Magazine,snowboarding,2021,Q1,0,184000,0,0
Snowboarder Magazine,snowboarding,2021,Q2,0,184000,0,0
Snowboarder Magazine,snowboarding,2021,Q3,0,184000,0,0
Snowboarder Magazine,snowboarding,2021,Q4,104347,184000,8,13043.38
Snowboarder Magazine,snowboarding,2022,Q1,0,184000,0,0
Snowboarder Magazine,snowboarding,2022,Q2,0,184000,0,0
Snowboarder Magazine,snowboarding,2022,Q3,0,184000,0,0
Snowboarder Magazine,snowboarding,2022,Q4,0,184000,0,0
Snowboarder Magazine,snowboarding,2023,Q1,79520,184000,9,8835.56
Snowboarder Magazine,snowboarding,2023,Q2,0,184000,0,0
Snowboarder Magazine,snowboarding,2023,Q3,0,184000,0,0
Snowboarder Magazine,snowboarding,2023,Q4,0,184000,0,0
Snowboarder Magazine,snowboarding,2024,Q1,59084,184000,4,14771.0
Snowboarder Magazine,snowboarding,2024,Q2,0,184000,0,0
Snowboarder Magazine,snowboarding,2024,Q3,0,184000,0,0
Snowboarder Magazine,snowboarding,2024,Q4,0,184000,0,0
Stab: We like to surf,surfing,2015,Q1,0,228000,0,0
Stab: We like to surf,surfing,2015,Q2,0,228000,0,0
Stab: We like to surf,surfing,2015,Q3,0,228000,0,0
Stab: We like to surf,surfing,2015,Q4,0,228000,0,0
Stab: We like to surf,surfing,2016,Q1,2389646,228000,64,37338.22
Stab: We like to surf,surfing,2016,Q2,1050864,228000,34,30907.76
Stab: We like to surf,surfing,2016,Q3,160048,228000,14,11432.0
Stab: We like to surf,surfing,2016,Q4,892085,228000,32,27877.66
Stab: We like to surf,surfing,2017,Q1,12233046,228000,12,1019420.5
Stab: We like to surf,surfing,2017,Q2,326566,228000,9,36285.11
Stab: We like to surf,surfing,2017,Q3,17057191,228000,241,70776.73
Stab: We like to surf,surfing,2017,Q4,46815,228000,1,46815.0
Stab: We like to surf,surfing,2018,Q1,2309897,228000,12,192491.42
Stab: We like to surf,surfing,2018,Q2,169972,228000,8,21246.5
Stab: We like to surf,surfing,2018,Q3,643597,228000,31,20761.19
Stab: We like to surf,surfing,2018,Q4,3553777,228000,62,57318.98
Stab: We like to surf,surfing,2019,Q1,1481358,228000,35,42324.51
Stab: We like to surf,surfing,2019,Q2,661253,228000,29,22801.83
Stab: We like to surf,surfing,2019,Q3,874156,228000,21,41626.48
Stab: We like to surf,surfing,2019,Q4,2758925,228000,36,76636.81
Stab: We like to surf,surfing,2020,Q1,1579179,228000,21,75199.0
Stab: We like to surf,surfing,2020,Q2,2347043,228000,32,73345.09
Stab: We like to surf,surfing,2020,Q3,3108629,228000,54,57567.2
Stab: We like to surf,surfing,2020,Q4,3769266,228000,67,56257.7
Stab: We like to surf,surfing,2021,Q1,2240317,228000,63,35560.59
Stab: We like to surf,surfing,2021,Q2,1481817,228000,43,34460.86
Stab: We like to surf,surfing,2021,Q3,4708161,228000,78,60361.04
Stab: We like to surf,surfing,2021,Q4,2084623,228000,51,40874.96
Stab: We like to surf,surfing,2022,Q1,2498921,228000,59,42354.59
Stab: We like to surf,surfing,2022,Q2,1917835,228000,40,47945.88
Stab: We like to surf,surfing,2022,Q3,1953930,228000,46,42476.74
Stab: We like to surf,surfing,2022,Q4,2142337,228000,31,69107.65
Stab: We like to surf,surfing,2023,Q1,1213872,228000,29,41857.66
Stab: We like to surf,surfing,2023,Q2,941519,228000,21,44834.24
