search_term,month,search_index
climbing gear,2015-01,41
climbing gear,2015-02,43
climbing gear,2015-03,46
climbing gear,2015-04,49
climbing gear,2015-05,44
climbing gear,2015-06,40
climbing gear,2015-07,50
climbing gear,2015-08,46
climbing gear,2015-09,45
climbing gear,2015-10,43
climbing gear,2015-11,45
climbing gear,2015-12,45
climbing gear,2016-01,40
climbing gear,2016-02,43
climbing gear,2016-03,47
climbing gear,2016-04,42
climbing gear,2016-05,52
climbing gear,2016-06,43
climbing gear,2016-07,44
climbing gear,2016-08,44
climbing gear,2016-09,41
climbing gear,2016-10,43
climbing gear,2016-11,44
climbing gear,2016-12,44
climbing gear,2017-01,38
climbing gear,2017-02,42
climbing gear,2017-03,85
climbing gear,2017-04,76
climbing gear,2017-05,63
climbing gear,2017-06,63
climbing gear,2017-07,66
climbing gear,2017-08,57
climbing gear,2017-09,53
climbing gear,2017-10,54
climbing gear,2017-11,57
climbing gear,2017-12,65
climbing gear,2018-01,67
climbing gear,2018-02,59
climbing gear,2018-03,64
climbing gear,2018-04,56
climbing gear,2018-05,68
climbing gear,2018-06,81
climbing gear,2018-07,86
climbing gear,2018-08,77
climbing gear,2018-09,70
climbing gear,2018-10,74
climbing gear,2018-11,78
climbing gear,2018-12,63
climbing gear,2019-01,57
climbing gear,2019-02,56
climbing gear,2019-03,65
climbing gear,2019-04,57
climbing gear,2019-05,54
climbing gear,2019-06,60
climbing gear,2019-07,59
climbing gear,2019-08,54
climbing gear,2019-09,49
climbing gear,2019-10,50
climbing gear,2019-11,53
climbing gear,2019-12,54
climbing gear,2020-01,57
climbing gear,2020-02,52
climbing gear,2020-03,51
climbing gear,2020-04,56
climbing gear,2020-05,58
climbing gear,2020-06,53
climbing gear,2020-07,48
climbing gear,2020-08,50
climbing gear,2020-09,48
climbing gear,2020-10,48
climbing gear,2020-11,50
climbing gear,2020-12,51
climbing gear,2021-01,50
climbing gear,2021-02,47
climbing gear,2021-03,46
climbing gear,2021-04,47
climbing gear,2021-05,43
climbing gear,2021-06,45
climbing gear,2021-07,45
climbing gear,2021-08,43
climbing gear,2021-09,39
climbing gear,2021-10,40
climbing gear,2021-11,41
climbing gear,2021-12,45
